35361,"arberit Доблести250413123227",0
40570,"<p>It seems that this is the sphere that the Messenger needed. Exchange it for one of the ones you need шкатулок: <a href=""http://tmgame.ru/info/artinfo.php?id=19001"">астеризовую</a>,&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=18998"">адамасовую</a>,&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=19000"">бриллиантовую</a>&nbsp;или&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=18999"">бирмитовую</a>.</p>",0
42974,"<p>A transparent petal made of the finest rock crystal, made by the best glassblowers. Rumor has it,&nbsp; that one petal brings good luck, and if someone is lucky enough to collect seven petals of different colors, he can combine them into&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6261"" target=""_blank""><b>tsvetik-semitsvetik</b></a>&nbsp;and get a reward:&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=2817"" target=""_blank""><b>Pocket by Yar Marko</b></a>,&nbsp;&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=24952"" target=""_blank""><b>Fragment of Nimelin x5</b></a>,&nbsp;<b><a href=""http://tmgame.ru/info/artinfo.php?id=6267"" target=""_blank"">A ghostly tablet</a></b>,&nbsp;<b><a href=""http://w0.tmgame.ru/info/artinfo.php?id=1758"" target=""_blank"">Rubidium plate x100</a></b>&nbsp;and&nbsp;<b><a href=""http://w0.tmgame.ru/info/artinfo.php?id=7504"" target=""_blank"">Ark with flying pollen x300</a></b>. In order to fully accommodate the entire reward, you will need&nbsp;<b>4 slots&nbsp;</b>in my backpack. &nbsp;</p><p>You can sell the petal, exchange it with your friends, or собрать&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6261"" target=""_blank""><b>цветики-семицветики</b></a>,&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6262"" target=""_blank""><b>цветики-букетики</b></a>&nbsp;и&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6263"" target=""_blank""><b>flower baskets&nbsp;</b></a>and get the royal reward!</p><p>For every five levels of your character,&nbsp;you get an additional 1 petal of the same color!</p><p>Any technomage can become the owner of a petal&nbsp;<b>5 level level</b>, which one is valid during the promotion period<b>&quot;Multi-colored week&nbsp;<b><a target=""_blank"" href=""http://info.tmgame.ru/news/doc/655/"">#will make at least one payment in the amount of at least 70 crystals. Regardless of the number and size of payments, per share is a petal (or petals,&nbsp;if the player's level is greater than 9) is given to the participants only once! ! Details</p>## here</a></b>.####",0
42981,"<p>Colorful bouquet of seven flowers. The delicate aroma of the bouquet will give more than one day of good mood to its owner.</p><p>If собрать <a target=""_blank"" href=""http://tmgame.ru/info/artinfo.php?id=6263""><b>корзину</b></a> из <b>семи</b> such bouquets, as a reward, you can get: <b><a target=""_blank"" href=""http://tmgame.ru/info/artinfo.php?id=5840"">Amber bead</a>&nbsp;</b>X300,&nbsp;<a target=""_blank"" href=""http://tmgame.ru/info/artinfo.php?id=5841""><b>Stoletova bead</b></a> X300,&nbsp;<a target=""_blank"" href=""http://tmgame.ru/info/artinfo.php?id=5842""><font color=""#0000ff""><b>Malachite bead</b></font></a>  x300, &nbsp;<a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=5584""><font color=""#0000ff""><b>Chrome Ore</b></font></a>  x1000, <a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=5585""><font color=""#0000ff""><b>Tungsten Ore</b></font></a> x1000, <a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=5999""><font color=""#0000ff""><b>Palladium ore</b></font></a> x1000,&nbsp;<a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=5793""><font color=""#0000ff""><b>Stone of the universe</b></font></a> x300,&nbsp;<font color=""#0000ff""><b>Ark with flying pollen <a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=11740""><font color=""#0000ff""><b>x70000 and</p>## Enchanted Scroll of Good Luck</b></font></a> x1.####",0
155143,"<jsaction|showMessage(""""Лишь тот, над кем не властна Тьма, Достоин будет знаний Древних. И мудрости вкусит сполна, Кто станет подвиг павших чтить.\nОтвагой щедро путь усеяв, Познаешь тайну Залов Сна..."""")>",0
155264,"<jsaction|showMessage(""Поздравляем! Вы перешли на второй уровень! Впереди вас ждут новые монстры, интересные знакомства и множество увлекательных заданий с достойной наградой!"")>",0
155265,"<jsaction|showMessage(""Поздравляем! Вы перешли на третий уровень! Зайдите в книгу заклинаний, чтобы выбрать свой путь и распределить очки умений в дереве магии. А как только вы покинете тренировочный лагерь и попадете в большой мир, вам станут доступны новые задания, доспехи и оружие, а также гладиаторская арена Колизея, где будут ждать настоящие противники и азартные бои."")>",0
155267,"<jsaction|showMessage(""Не забудьте перераспределить очки умений в дереве магии."")>",0
155332,"<jsaction|showMessage(""Техномаги! Реформа камней для инкрустации успешно завершена! Подробности в новостях."")>",0
155373,"<jsaction|showMessage(""Поделитесь достижением с друзьями на ФейсБук"")>",0
155381,"Opening the Certificate of Great Luck, %NICK%  gets:<art|2230|Кольцо Хранителя артефактов|#f26303|1>\n",0
155382,"Opening the Certificate of Great Luck, %NICK%  gets:<art|2235|Регалию Рубелла|#f26303|1>\n",0
155383,"Opening the Certificate of Great Luck, %NICK%  gets:<art|2225|Амулет Хранителя артефактов|#f26303|1>\n",0
155385,"Opening the Certificate of Great Luck, %NICK%  gets:<art|1814|Руну Героев|#f26303|1>\n",0
155386,"Opening the Certificate of Great Luck, %NICK%  gets:<art|3591|Усиленное кольцо Хранителя артефактов|#f26303|1>\n",0
155388,"Opening the Certificate of Great Luck, %NICK%  gets:<art|4658|Усиленную сумку Лекаря|#f26303|1>\n",0
155389,"Opening the Certificate of Great Luck, %NICK%  gets:<art|3592|Усиленный амулет Хранителя артефактов|#f26303|1>\n",0
155391,"Opening the Certificate of Great Luck, %NICK%  gets:<art|4653|Усиленный плащ техномага|#f26303|1>\n",0
155392,"Opening the Certificate of Great Luck, %NICK%  gets:<art|4660|Усиленную сумку Вора|#f26303|1>",0
155393,"Opening the Certificate of Great Luck, %NICK%  gets:<art|4661|Усиленная Лёгкая сумка|#f26303|1>\n",0
155394,"Opening the Certificate of Great Luck, %NICK%  gets:<art|4659|Усиленную Вычурную сумку|#f26303|1>",0
155395,"Opening the Certificate of Great Luck, %NICK%  gets:<art|4662|Усиленную Клёпаную сумку|#f26303|1>",0
155498,"%NICK% gets the rare loot:<art|6193|Руну Чемпионов|#dc0600|1>",0
155562,"Opening the Certificate of Great Luck, %NICK%  gets<art|2236|Регалию Духовности|#f26303|1>",0
155563,"Opening the Certificate of Great Luck, %NICK%  gets<art|2238|Регалию Надзора|#f26303|1>",0
155564,"Opening the Certificate of Great Luck, %NICK%  gets<art|2237| Регалию Экзорцизма|#f26303|1>\n",0
